region,q1,avg,q3,scrape_date,source_url,timestamp
Berlin,4045,4726,4994,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Brandenburg,3419,3823,4581,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Bremen,3986,4457,5340,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Hamburg,3265,4599,6927,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Hessen,3938,4540,4692,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Mecklenburg-Vorpommern,3312,3703,4438,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Niedersachsen,3812,4206,4452,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Nordrhein-Westfalen,4005,4276,5453,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Rheinland-Pfalz,4255,4758,5702,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Saarland,3913,4376,5244,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Sachsen,3774,4220,5057,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Sachsen-Anhalt,3360,3757,4502,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Schleswig-Holstein,3796,4244,5086,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Thüringen,3425,3830,4589,2022-05-29,https://web.archive.org/web/20220529075056/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220529075056
Deutschland,4049,4527,5425,2022-09-28,https://web.archive.org/web/20220928214043/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220928214043
Baden-Württemberg,3352,4385,9689,2022-09-28,https://web.archive.org/web/20220928214043/https://www.gehaltsvergleich.com/gehalt/Bioinformatiker-Bioinformatikerin,20220928214043
